(*)Commodity Code,(*)Commodity Name,Commodity Barcode,Sku Code,Sku Name,Tags,Description,Commodity Type,Unit,(*)Commodity Group,Sub group,Profit rate(%),Purchase Price,(*)Sale price,Tax1,Tax2,Origin,Style,Model,Size,Color,Warranty ( month ),Minimum inventory
71,Dead Sea Pedicure,,,,,,,,Services,,,,1105,GST 5%,,,,,,,,
72,Ice Cream Pedicure,,,,,,,,Services,,,,1105,GST 5%,,,,,,,,
73,Treatment Pedicure,,,,,,,,Services,,,,2200,GST 5%,,,,,,,,
74,Luxury Pedicure,,,,,,,,Services,,,,1648,GST 5%,,,,,,,,
75,Gel Polish Removal,,,,,,,,Services,,,,438,GST 5%,,,,,,,,
76,Nail Extension Removal,,,,,,,,Services,,,,657,GST 5%,,,,,,,,
77,Gel Polish,,,,,,,,Services,,,,990,GST 5%,,,,,,,,
78,Cat Eye ,,,,,,,,Services,,,,1105,GST 5%,,,,,,,,
79,French Gel Polish ,,,,,,,,Services,,,,1600,GST 5%,,,,,,,,
80,Semi Permanent Extension with Gel,,,,,,,,Services,,,,2752,GST 5%,,,,,,,,
81,Permanent Extension with Gel,,,,,,,,Services,,,,4040,GST 5%,,,,,,,,
82,Detan Face & Neck ,,,,,,,,Services,,,,1100,GST 5%,,,,,,,,
83,Detan Nape,,,,,,,,Services,,,,500,GST 5%,,,,,,,,
84,Detan Feet,,,,,,,,Services,,,,750,GST 5%,,,,,,,,
85,Detan Underarms,,,,,,,,Services,,,,550,GST 5%,,,,,,,,
86,Detan Face & Neck,,,,,,,,Services,,,,1100,GST 5%,,,,,,,,
87,Detan Half Arms,,,,,,,,Services,,,,750,GST 5%,,,,,,,,
88,Detan Full Arms,,,,,,,,Services,,,,1100,GST 5%,,,,,,,,
89,Detan Full Legs,,,,,,,,Services,,,,1400,GST 5%,,,,,,,,
90,Detan Half Legs,,,,,,,,Services,,,,1000,GST 5%,,,,,,,,
91,Detan Upper Back,,,,,,,,Services,,,,900,GST 5%,,,,,,,,
92,Detan Lower Back,,,,,,,,Services,,,,900,GST 5%,,,,,,,,
